country,suicide_rate,total_litres_of_pure_alcohol,gdi,hdi,schooling_years,gni,poverty_index,satisfaction_index,unemployment_rate,access_to_family_planning,gii,maternal_mortality,adolescent_birth,labor_participation,human_development,num_mental_hospitals,basic_sanitation_percentage,preprimary,primary,secondary,youth_unempl,total_unempl,life_expectancy_50,sunshine_hours
Romania,2.5,10.4,0.99,0.796,15.1,16272.0,0.01,5.777491092999999,6.8000001910000005,79.0,0.339,31,34.6,47.6,0.802,0.18,82.0,91.0,95.0,94.0,1.02,0.74,30.3,2111.2
Russian Federation,5.6,11.5,1.016,0.809,15.3,17868.0,0.15,5.995538712,5.599999905,68.0,0.271,25,23.4,56.6,0.804,0.26,89.0,83.0,99.0,100.0,1.05,0.88,29.0,1693.0
Rwanda,3.5,6.8,0.992,0.491,11.4,1428.0,0.254,3.483108997,3.400000095,65.9,0.383,290,26.3,86.4,0.498,0.01,62.0,15.0,135.0,41.0,1.07,1.06,26.5,1795.0
Saint Lucia,1.6,10.1,0.986,0.729,13.4,8033.0,0.003,4.778841456278482,24.10000038,72.4,0.354,48,53.9,63.1,0.735,0.57,91.0,67.0,103.0,86.0,1.39,1.77,31.3,2920.0
Samoa,2.8,2.6,0.967,0.693,13.3,3444.0,0.15,4.778841456278482,8.800000191,39.4,0.439,51,25.0,23.1,0.7040000000000001,0.03,97.0,39.0,106.0,92.0,1.14,1.3,29.9,2575.0
Sao Tome and Principe,1.7,4.2,0.907,0.542,12.2,2000.0,0.156609375,4.778841456278482,13.39999962,50.3,0.524,156,84.3,45.3,0.574,0.6,40.0,54.0,111.0,89.0,1.13,1.35,27.0,1671.0
Saudi Arabia,2.2,0.1,0.882,0.779,15.3,19300.0,0.052000000000000005,6.3454918860000005,5.599999905,68.9,0.257,12,8.8,20.1,0.847,0.08,100.0,18.0,108.0,94.0,1.36,6.89,28.5,2929.4
Senegal,5.2,0.3,0.886,0.464,9.2,1706.0,0.278,4.61700058,10.39999962,47.4,0.521,315,78.6,45.0,0.494,0.04,48.0,16.0,84.0,38.0,1.35,1.73,25.7,2993.9
Serbia,5.5,9.6,0.969,0.763,14.8,9600.0,0.002,5.317685127,17.70000076,25.1,0.185,17,19.0,43.4,0.7759999999999999,0.05,95.0,59.0,101.0,95.0,1.04,1.12,29.5,2111.9
Sierra Leone,14.7,6.7,0.871,0.392,9.1,1354.0,0.41100000000000003,4.908617973,43222.0,37.5,0.65,1 360,118.2,65.0,0.42,0.02,15.0,10.0,130.0,40.0,0.7,0.47,19.6,2083.8
Singapore,5.5,1.5,0.985,0.913,15.5,60787.0,0.001,6.619524956,1.7000000480000002,90.0,0.068,10,3.8,58.2,0.925,0.02,100.0,108.0,110.0,99.0,1.32,1.13,36.7,2022.4
Slovakia,2.5,11.4,0.991,0.838,15.5,20173.0,0.01,6.162004471,43231.0,86.0,0.179,6,20.2,51.4,0.845,0.17,99.0,91.0,100.0,92.0,0.98,1.26,31.3,1779.1
Slovenia,6.0,10.6,1.003,0.89,18.1,25654.0,0.01,5.740642071,9.0,86.0,0.053,9,3.8,52.2,0.89,0.3,99.0,92.0,99.0,111.0,0.9,1.25,34.3,1712.1
Solomon Islands,5.0,1.2,0.737,0.4,9.1,1061.0,0.052000000000000005,4.778841456278482,31.29999924,38.0,0.467,114,48.4,61.1,0.515,0.19,31.0,98.0,112.0,47.0,1.0,1.03,25.9,2190.0
South Africa,5.1,8.2,0.962,0.651,13.6,8795.0,0.040999999999999995,4.887325764,25.20000076,77.9,0.394,138,45.5,46.2,0.6659999999999999,0.12,73.0,76.0,97.0,104.0,1.07,1.18,24.5,3094.0
Spain,2.9,10.0,0.974,0.87,18.0,24382.0,0.001,6.380663395,22.10000038,96.0,0.081,5,8.4,52.3,0.884,0.19,100.0,98.0,105.0,130.0,0.99,1.15,36.1,2680.0
Sri Lanka,13.3,2.2,0.934,0.734,14.3,6067.0,0.05,4.611606598,4.6999998089999995,74.1,0.386,30,14.8,30.2,0.7659999999999999,0.0,94.0,95.0,100.0,102.0,1.32,2.37,30.5,2621.3
Sudan,6.3,1.7,0.839,0.441,7.0,1902.0,0.156609375,4.778841456278482,13.0,30.2,0.575,311,74.0,24.3,0.49,0.0,35.0,35.0,67.0,41.0,1.2,1.7,26.2,3559.6
Suriname,12.6,5.6,0.972,0.709,13.0,10501.0,0.156609375,4.778841456278482,7.3000001910000005,73.2,0.448,155,46.1,40.5,0.725,0.19,79.0,96.0,118.0,89.0,1.61,2.79,28.5,2555.0
Sweden,7.6,7.2,0.997,0.909,16.6,40328.0,0.001,7.28892231,7.400000095,96.0,0.048,4,5.7,60.9,0.9129999999999999,0.0,99.0,95.0,124.0,142.0,0.94,0.97,34.8,1771.0
Switzerland,6.0,10.2,0.974,0.926,16.0,46798.0,0.001,7.572136878999999,43224.0,99.0,0.04,5,2.9,62.7,0.9390000000000001,0.79,100.0,104.0,103.0,98.0,0.96,1.06,35.9,1792.0
Syria,1.2,1.0,0.851,0.475,8.9,835.0,0.156609375,3.46191287,14.60000038,53.3,0.554,68,39.4,12.2,0.536,0.02,93.0,6.0,79.0,51.0,1.25,3.27,29.7,3071.3
Tajikistan,2.5,0.3,0.93,0.604,10.6,2100.0,0.031,5.124210835,10.80000019,50.8,0.322,32,38.1,59.4,0.627,0.21,95.0,10.0,98.0,83.0,0.9,0.85,29.1,2699.0
Thailand,7.7,6.4,1.001,0.74,14.1,12938.0,0.156609375,6.201762676,1.0,89.2,0.366,20,44.6,62.9,0.74,0.03,95.0,73.0,104.0,89.0,1.12,0.91,31.1,2719.6
Macedonia,3.1,3.9,0.947,0.725,13.0,9050.0,0.006999999999999999,4.975589752,26.10000038,22.3,0.16,8,17.6,43.9,0.748,0.2,91.0,29.0,85.0,81.0,0.96,0.93,29.2,2334.9
Togo,8.7,1.3,0.841,0.444,10.8,1116.0,0.242,3.768301964,6.1999998089999995,32.1,0.556,368,92.0,81.1,0.48700000000000004,0.01,14.0,15.0,121.0,87.0,1.1,1.21,23.1,2371.6
Tonga,3.3,1.1,0.969,0.707,14.6,3959.0,0.15,4.778841456278482,5.099999905,47.9,0.659,124,15.2,52.8,0.721,0.96,93.0,38.0,107.0,94.0,1.2,2.07,29.3,2785.0
Trinidad and Tobago,4.5,6.4,1.004,0.786,14.3,21104.0,0.156609375,4.778841456278482,3.400000095,58.2,0.324,63,31.5,52.6,0.78,0.07,92.0,72.0,104.0,103.0,1.26,1.41,28.5,2610.4
Tunisia,4.1,1.3,0.904,0.68,15.1,4662.0,0.006,5.131611824,15.19999981,73.2,0.289,62,6.8,25.1,0.725,0.01,93.0,43.0,111.0,94.0,1.02,1.52,30.1,3185.2
Turkey,4.7,1.4,0.908,0.724,14.0,10648.0,0.01,5.514465332,10.19999981,59.7,0.328,16,27.6,30.4,0.767,0.01,96.0,27.0,107.0,99.0,1.13,1.33,31.7,2449.6
Turkmenistan,5.2,2.2,0.946,0.672,10.6,9359.0,0.156609375,5.791460037,8.800000191,75.6,0.278,42,16.4,47.3,0.6920000000000001,0.12,97.0,62.0,89.0,84.0,1.04,0.99,26.8,2891.4
Uganda,7.6,8.3,0.878,0.459,9.9,1266.0,0.359,4.237686634,1.899999976,49.9,0.522,343,111.9,82.3,0.493,0.0,19.0,11.0,111.0,26.0,1.04,1.31,25.5,2210.0
Ukraine,6.2,8.9,1.0,0.741,15.5,5791.0,0.001,3.9645428660000004,9.100000381000001,68.0,0.284,24,24.1,52.2,0.743,0.19,96.0,103.0,105.0,98.0,0.95,0.71,28.7,1955.0
United Arab Emirates,0.9,2.8,0.972,0.815,13.9,27257.0,0.052000000000000005,6.568397522000001,4.0,68.9,0.232,6,29.7,41.9,0.84,0.02,100.0,92.0,107.0,94.0,1.21,3.13,29.6,3506.1
Tanzania,5.8,5.7,0.937,0.512,8.3,2359.0,0.156609375,3.660597324,2.099999905,52.9,0.544,398,118.6,74.0,0.531,0.0,24.0,33.0,87.0,31.0,1.22,1.88,26.9,3105.5
USA,5.8,8.7,0.993,0.915,17.3,42272.0,0.001,6.863946915,5.3000001910000005,96.0,0.203,14,22.6,56.0,0.92,0.25,100.0,72.0,99.0,98.0,0.92,0.96,33.4,2719.6
Uruguay,6.3,6.6,1.017,0.799,16.6,14608.0,0.05,6.628080367999999,43227.0,72.0,0.284,15,56.1,55.4,0.795,0.04,96.0,70.0,108.0,100.0,1.1,1.52,33.2,2471.6
Uzbekistan,5.2,2.4,0.946,0.672,11.8,3891.0,0.156609375,5.972364426,8.800000191,65.0,0.287,36,17.7,48.3,0.701,0.04,100.0,25.0,96.0,95.0,1.05,1.0,28.0,2953.1
Vanuatu,3.3,0.9,0.927,0.556,10.4,2139.0,0.156609375,4.778841456278482,5.3000001910000005,50.7,0.366,78,43.1,61.6,0.597,0.0,53.0,97.0,122.0,59.0,1.06,1.31,27.7,3285.0
Venezuela,1.1,7.7,1.028,0.776,15.4,11579.0,0.15,5.568800448999999,6.8000001910000005,86.0,0.461,95,79.4,51.4,0.767,0.12,95.0,73.0,100.0,95.0,1.16,1.2,31.1,2617.5
Vietnam,3.4,2.0,1.01,0.687,12.9,4834.0,0.016,5.076315403,2.099999905,69.7,0.337,54,38.6,73.8,0.6829999999999999,0.04,78.0,80.0,109.0,93.0,1.1,1.07,33.6,1466.1
Yemen,6.2,0.1,0.737,0.4,7.6,1045.0,0.2,2.982673883,16.70000076,46.9,0.767,385,61.5,25.8,0.48200000000000004,0.02,60.0,1.0,89.0,40.0,1.17,2.07,24.9,3756.0
Zambia,5.0,2.5,0.924,0.555,12.1,2803.0,0.264,4.843164444,7.6999998089999995,63.8,0.526,224,90.4,69.8,0.579,0.01,31.0,2.0,104.0,74.0,0.96,1.02,26.1,2809.1
Zimbabwe,10.3,4.7,0.927,0.496,10.2,1360.0,0.128,3.70319128,5.099999905,85.2,0.54,443,109.7,77.8,0.516,0.03,39.0,43.0,99.0,47.0,1.12,1.37,24.7,3010.9
